(0, 15, 4)
(0, 16, 4)
(1, 15, 22)
(1, 16, 4)
(2, 15, 36)
(2, 16, 4)
(3, 15, 54)
(3, 16, 3)
(4, 15, 85)
(4, 16, 2)
(5, 15, 132)
(5, 16, 1)
(6, 14, 1)
(6, 15, 161)
(6, 16, 1)
(7, 14, 3)
(7, 15, 191)
(8, 14, 6)
(8, 15, 209)
(8, 16, 1)
(9, 14, 13)
(9, 15, 231)
(10, 14, 15)
(10, 15, 244)
(11, 14, 16)
(11, 15, 272)
(12, 14, 23)
(12, 15, 274)
(13, 14, 43)
(13, 15, 247)
(14, 14, 47)
(14, 15, 264)
(15, 14, 70)
(15, 15, 245)
(16, 14, 84)
(16, 15, 248)
(17, 14, 86)
(17, 15, 277)
(18, 14, 98)
(18, 15, 290)
(19, 14, 122)
(19, 15, 294)
