(0, 0, 100)
(0, 1, 100)
(0, 2, 100)
(0, 3, 100)
(0, 4, 100)
(0, 5, 100)
(0, 6, 100)
(0, 7, 100)
(0, 8, 99)
(0, 9, 98)
(0, 10, 96)
(0, 11, 90)
(0, 12, 76)
(0, 13, 54)
(0, 14, 17)
(0, 15, 1)
(0, 16, 1)
(0, 17, 1)
(0, 18, 1)
(0, 19, 1)
(1, 0, 200)
(1, 1, 200)
(1, 2, 200)
(1, 3, 200)
(1, 4, 200)
(1, 5, 200)
(1, 6, 200)
(1, 7, 200)
(1, 8, 199)
(1, 9, 196)
(1, 10, 192)
(1, 11, 168)
(1, 12, 118)
(1, 13, 60)
(1, 14, 16)
(1, 15, 1)
(1, 16, 1)
(1, 17, 1)
(1, 18, 1)
(1, 19, 1)
(2, 0, 300)
(2, 1, 300)
(2, 2, 300)
(2, 3, 300)
(2, 4, 300)
(2, 5, 300)
(2, 6, 300)
(2, 7, 300)
(2, 8, 299)
(2, 9, 295)
(2, 10, 287)
(2, 11, 248)
(2, 12, 163)
(2, 13, 62)
(2, 14, 17)
(2, 15, 1)
(2, 16, 1)
(2, 17, 1)
(2, 18, 1)
(2, 19, 1)
(3, 0, 400)
(3, 1, 400)
(3, 2, 400)
(3, 3, 400)
(3, 4, 400)
(3, 5, 400)
(3, 6, 400)
(3, 7, 400)
(3, 8, 399)
(3, 9, 395)
(3, 10, 368)
(3, 11, 295)
(3, 12, 175)
(3, 13, 64)
(3, 14, 15)
(3, 15, 1)
(3, 16, 1)
(3, 17, 1)
(3, 18, 1)
(3, 19, 1)
(4, 0, 500)
(4, 1, 500)
(4, 2, 499)
(4, 3, 498)
(4, 4, 498)
(4, 5, 496)
(4, 6, 496)
(4, 7, 496)
(4, 8, 495)
(4, 9, 483)
(4, 10, 447)
(4, 11, 338)
(4, 12, 176)
(4, 13, 64)
(4, 14, 13)
(4, 15, 1)
(4, 16, 1)
(4, 17, 1)
(4, 18, 1)
(4, 19, 1)
(5, 0, 600)
(5, 1, 600)
(5, 2, 599)
(5, 3, 592)
(5, 4, 587)
(5, 5, 585)
(5, 6, 584)
(5, 7, 581)
(5, 8, 578)
(5, 9, 564)
(5, 10, 514)
(5, 11, 381)
(5, 12, 199)
(5, 13, 68)
(5, 14, 12)
(5, 15, 1)
