(0, 0, 100)
(0, 1, 100)
(0, 2, 100)
(0, 3, 100)
(0, 4, 99)
(0, 5, 99)
(0, 6, 99)
(0, 7, 99)
(0, 8, 98)
(0, 9, 96)
(0, 10, 89)
(0, 11, 78)
(0, 12, 70)
(0, 13, 59)
(0, 14, 28)
(0, 15, 1)
(0, 16, 1)
(0, 17, 1)
(0, 18, 1)
(0, 19, 1)
(1, 0, 200)
(1, 1, 200)
(1, 2, 200)
(1, 3, 200)
(1, 4, 199)
(1, 5, 199)
(1, 6, 196)
(1, 7, 193)
(1, 8, 190)
(1, 9, 183)
(1, 10, 168)
(1, 11, 150)
(1, 12, 131)
(1, 13, 72)
(1, 14, 20)
(1, 15, 1)
(1, 16, 1)
(1, 17, 1)
(1, 18, 1)
(1, 19, 1)
(2, 0, 300)
(2, 1, 300)
(2, 2, 300)
(2, 3, 300)
(2, 4, 298)
(2, 5, 296)
(2, 6, 292)
(2, 7, 288)
(2, 8, 281)
(2, 9, 271)
(2, 10, 243)
(2, 11, 213)
(2, 12, 173)
(2, 13, 77)
(2, 14, 7)
(2, 15, 1)
(2, 16, 1)
(2, 17, 1)
(2, 18, 1)
(2, 19, 1)
(3, 0, 400)
(3, 1, 400)
(3, 2, 400)
(3, 3, 399)
(3, 4, 397)
(3, 5, 394)
(3, 6, 388)
(3, 7, 381)
(3, 8, 372)
(3, 9, 354)
(3, 10, 321)
(3, 11, 277)
(3, 12, 211)
(3, 13, 92)
(3, 14, 5)
(3, 15, 1)
(3, 16, 1)
(3, 17, 1)
(3, 18, 1)
(3, 19, 1)
(4, 0, 500)
(4, 1, 500)
(4, 2, 500)
(4, 3, 499)
(4, 4, 497)
(4, 5, 494)
(4, 6, 487)
(4, 7, 475)
(4, 8, 460)
(4, 9, 432)
(4, 10, 391)
(4, 11, 335)
(4, 12, 236)
(4, 13, 93)
(4, 14, 6)
(4, 15, 1)
(4, 16, 1)
(4, 17, 1)
(4, 18, 1)
(4, 19, 1)
(5, 0, 600)
(5, 1, 600)
(5, 2, 599)
(5, 3, 597)
(5, 4, 590)
(5, 5, 585)
(5, 6, 575)
(5, 7, 564)
(5, 8, 545)
(5, 9, 513)
(5, 10, 470)
(5, 11, 397)
(5, 12, 266)
(5, 13, 93)
(5, 14, 8)
(5, 15, 1)
